vowel,f0_hz,noise,method,log_envelope_rmse_db
a,110.0,0.0,LPC12,6.269322296190412
a,110.0,0.0,LPC20,4.169035041655729
a,110.0,0.0,CEP20,5.291914896484323
a,110.0,0.0,CEP40,2.7054153038064723
a,110.0,0.01,LPC12,6.161412796160421
a,110.0,0.01,LPC20,4.0389611495186415
a,110.0,0.01,CEP20,5.581251945019877
a,110.0,0.01,CEP40,3.212582521725227
a,220.0,0.0,LPC12,6.736829777978503
a,220.0,0.0,LPC20,4.506013853242632
a,220.0,0.0,CEP20,5.814911037471034
a,220.0,0.0,CEP40,3.9842995976909155
a,220.0,0.01,LPC12,6.690552548570066
a,220.0,0.01,LPC20,4.420646256679222
a,220.0,0.01,CEP20,5.870021858275973
a,220.0,0.01,CEP40,3.9798569739780634
a,350.0,0.0,LPC12,7.201984928977784
a,350.0,0.0,LPC20,4.4248401907210315
a,350.0,0.0,CEP20,6.684821808751441
a,350.0,0.0,CEP40,2.764220771526494
a,350.0,0.01,LPC12,7.2068609376532216
a,350.0,0.01,LPC20,4.314270688957859
a,350.0,0.01,CEP20,7.130045864875045
a,350.0,0.01,CEP40,3.4395652743940968
i,110.0,0.0,LPC12,5.811668310753605
i,110.0,0.0,LPC20,5.726608950355622
i,110.0,0.0,CEP20,4.205916360002279
i,110.0,0.0,CEP40,3.6740507457481284
i,110.0,0.01,LPC12,5.705302735690452
i,110.0,0.01,LPC20,5.648050731491193
i,110.0,0.01,CEP20,4.239907742793512
i,110.0,0.01,CEP40,3.846365639549117
i,220.0,0.0,LPC12,5.296747990426693
i,220.0,0.0,LPC20,5.2645535660077325
i,220.0,0.0,CEP20,4.15759412489108
i,220.0,0.0,CEP40,4.186157006132031
i,220.0,0.01,LPC12,5.233862243022072
i,220.0,0.01,LPC20,5.217981890232096
i,220.0,0.01,CEP20,4.178488081471523
i,220.0,0.01,CEP40,4.098178321951648
i,350.0,0.0,LPC12,4.141673930313267
i,350.0,0.0,LPC20,4.1329648384143765
i,350.0,0.0,CEP20,2.8923271209271686
i,350.0,0.0,CEP40,2.326879393265696
i,350.0,0.01,LPC12,4.130447641404381
i,350.0,0.01,LPC20,4.1280753675928725
i,350.0,0.01,CEP20,2.910472560372987
i,350.0,0.01,CEP40,2.355119509818721
u,110.0,0.0,LPC12,6.2433069309858436
u,110.0,0.0,LPC20,5.362606213771471
u,110.0,0.0,CEP20,4.8657875464014175
u,110.0,0.0,CEP40,3.937115900347934
u,110.0,0.01,LPC12,6.098663909068675
u,110.0,0.01,LPC20,5.235432394418057
u,110.0,0.01,CEP20,5.004779121399405
u,110.0,0.01,CEP40,4.081084325996345
u,220.0,0.0,LPC12,6.7916622731815215
u,220.0,0.0,LPC20,5.8334210735165435
u,220.0,0.0,CEP20,5.187426910394043
u,220.0,0.0,CEP40,4.735966615184495
u,220.0,0.01,LPC12,6.710424878313616
u,220.0,0.01,LPC20,5.763733381881413
u,220.0,0.01,CEP20,5.002599525600068
u,220.0,0.01,CEP40,4.159413850756395
u,350.0,0.0,LPC12,4.176743755996683
u,350.0,0.0,LPC20,2.151576907308013
u,350.0,0.0,CEP20,3.3980606382199885
u,350.0,0.0,CEP40,2.1111483875185657
u,350.0,0.01,LPC12,4.1450314175463685
u,350.0,0.01,LPC20,2.1482696989276255
u,350.0,0.01,CEP20,3.866852812884677
u,350.0,0.01,CEP40,2.8765076998640726
