case,method,semitones,noise,transient,harmonicity,hybrid_psola_weight,envelope_rmse_db,mean_formant_peak_error_hz
steady_small,expanded_PSOLA,2,0.0,False,,,35.21805509573127,31.0546875
steady_small,phase_locked_spectral,2,0.0,False,,,30.99472337848245,44.962565104166664
steady_small,adaptive_hybrid,2,0.0,False,0.9959091990373639,0.7777777777777778,32.653258108022046,38.008626302083336
steady_medium,expanded_PSOLA,5,0.0,False,,,31.18327654676761,39.6728515625
steady_medium,phase_locked_spectral,5,0.0,False,,,30.56975666812798,35.176595052083336
steady_medium,adaptive_hybrid,5,0.0,False,0.994346374633326,0.4444444444444444,30.522942324482515,35.178629557291664
large_shift,expanded_PSOLA,10,0.0,False,,,21.171387925616386,45.47119140625
large_shift,phase_locked_spectral,10,0.0,False,,,36.20136557928094,162.2528076171875
large_shift,adaptive_hybrid,10,0.0,False,0.9950160811643288,0.0,36.20136557928094,162.2528076171875
breathy_small,expanded_PSOLA,3,0.22,False,,,13.421290818360528,46.934000651041664
breathy_small,phase_locked_spectral,3,0.22,False,,,4.316572887951076,165.30863444010416
breathy_small,adaptive_hybrid,3,0.22,False,0.2147464865096516,0.0,4.316572887951076,165.30863444010416
breathy_large,expanded_PSOLA,8,0.3,False,,,12.578526603867512,101.79036458333333
breathy_large,phase_locked_spectral,8,0.3,False,,,5.772342051394647,166.5802001953125
breathy_large,adaptive_hybrid,8,0.3,False,0.21451208019156417,0.0,5.772342051394647,166.5802001953125
transient_medium,expanded_PSOLA,5,0.08,True,,,12.589431680737727,19.891357421875
transient_medium,phase_locked_spectral,5,0.08,True,,,17.4718660268531,210.99039713541666
transient_medium,adaptive_hybrid,5,0.08,True,0.4230178928751251,0.0,5.869205692866009,210.99039713541666
